"codpais","desmarca","aniocampana","cuc","bpcs","codsap","codtipooferta","vincnumoferta","vincodestrategia","descripcuc","pup","desproducto","nrogrupo","precionormalmn","preciooferta","uudemandadas","realuuvendidas","estuuvendidas","ventanetamndemandada","ventanetamnreal","ventanetamnest","ventanetadoldemd","ventanetadolreal","ventanetadolest","costoreposiciondolreal","costoreposiciondolest","costodereposicionuntdolreal","costodereposicionuntdolest","realnropedidos","estnropedidos","realtcpromedio"
PE,L'BEL,"201901","200089621","186034017","200089621         ","071",1919,"999",HOMME 033 PROB 2ML,0,LB HOMME 033 PROB C\PUMP 2ML,0,20.0000,1.7200,231,231,547,355.18000,355.18000,973.475,105,105.7662,288.950,56,134.1244,0.2452,0.2452,120352,115272,3
PE,L'BEL,"201901","200089621","186034017","200089621         ","071",15901,"001",HOMME 033 PROB 2ML,0,LB HOMME 033 PROB C\PUMP 2ML,,20.0000,2.1000,231,231,547,355.18000,355.18000,973.475,105,105.7662,288.950,56,134.1244,0.2452,0.2452,120352,115272,3
PE,L'BEL,"201901","200089621","186034017","200089621         ","071",1343,"998",HOMME 033 PROB 2ML,0,LB HOMME 033 PROB C\PUMP 2ML,0,20.0000,2.1000,231,231,547,355.18000,355.18000,973.475,105,105.7662,288.950,56,134.1244,0.2452,0.2452,120352,115272,3
PE,L'BEL,"201901","200089621","186034017","200089621         ","071",16978,"001",HOMME 033 PROB 2ML,0,LB HOMME 033 PROB C\PUMP 2ML,,20.0000,1.7200,231,231,547,355.18000,355.18000,973.475,105,105.7662,288.950,56,134.1244,0.2452,0.2452,120352,115272,3
PE,L'BEL,"201901","200089621","186034017","200089621         ","071",1919,"999",HOMME 033 PROB 2ML,0,LB HOMME 033 PROB C\PUMP 2ML,0,20.0000,2.1000,231,231,547,355.18000,355.18000,973.475,105,105.7662,288.950,56,134.1244,0.2452,0.2452,120352,115272,3
PE,CYZONE,"201901",P0197093000,"197102156","200094173         ","013",8451,"001",CY LL MAD 4 COLOR 4 G,0,CZ CY LL MAD4COLO PURPLE MAGIC,,22.0000,10.9000,351,351,715,2345.99000,2345.99000,4821.402,698,698.5938,1431.107,232,473.4730,0.6622,0.6622,120352,115272,3
PE,CYZONE,"201901",P0197093000,"197102156","200094173         ","013",1343,"998",CY LL MAD 4 COLOR 4 G,0,CZ CY LL MAD4COLO PURPLE MAGIC,0,22.0000,10.9000,351,351,715,2345.99000,2345.99000,4821.402,698,698.5938,1431.107,232,473.4730,0.6622,0.6622,120352,115272,3
PE,LBEL,"201901",P0261052003,"261052033","200089535         ","003",1909,"999",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ FUCSIA VIF,0,58.0000,22.9000,258,258,461,4554.60000,4554.60000,8946.529,1356,1356.2784,2655.544,275,491.6104,1.0664,1.0664,120352,115272,3
PE,LBEL,"201901",P0261052003,"261052033","200089535         ","003",1909,"999",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ FUCSIA VIF,0,58.0000,19.9600,258,258,461,4554.60000,4554.60000,8946.529,1356,1356.2784,2655.544,275,491.6104,1.0664,1.0664,120352,115272,3
PE,LBEL,"201901",P0261052003,"261052033","200089535         ","003",16504,"001",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ FUCSIA VIF,,58.0000,19.9600,258,258,461,4554.60000,4554.60000,8946.529,1356,1356.2784,2655.544,275,491.6104,1.0664,1.0664,120352,115272,3
PE,LBEL,"201901",P0261052003,"261052033","200089535         ","003",1343,"998",LB INFINI LL LIQUIDO 7 G,0,LB INFINI LL LIQ FUCSIA VIF,0,58.0000,22.9000,258,258,461,4554.60000,4554.60000,8946.529,1356,1356.2784,2655.544,275,491.6104,1.0664,1.0664,120352,115272,3
PE,CYZONE,"201901","200092367","464228021","200092367         ","015",8661,"001",CY BE SEXY VOLUMEN UP 105G,0,CY BE SEXY VOLUMEN UP 105G,,38.0000,24.9000,243,243,346,3791.68000,3791.68000,5475.888,1129,1129.0945,1625.374,247,352.1242,1.0177,1.0177,120352,115272,3
PE,LBEL,"201901",XXXXXXXXX,"602103255","210089751         ","024",5555,"005",N/A,0,LB0119 BOLSO SIENA,0,120.0000,39.0000,2627,2627,738,86822.35000,86822.35000,24391.536,25854,25854.1433,7239.992,11155,3133.8432,4.2464,4.2464,120352,115272,3
PE,LBEL,"201901",XXXXXXXXX,"602103255","210089751         ","024",1343,"998",N/A,0,LB0119 BOLSO SIENA,0,120.0000,39.0000,2627,2627,738,86822.35000,86822.35000,24391.536,25854,25854.1433,7239.992,11155,3133.8432,4.2464,4.2464,120352,115272,3
PE,CYZONE,"201901",P0132055000,"132055020","200084502         ","015",8575,"001",CY STUDIO LOOK  DEL GEL 1.5 GR,0,CY STUDIO DEL BROWN,,32.0000,19.9000,385,385,213,4772.78000,4772.78000,2622.246,1421,1421.2485,778.345,325,180.1767,0.8459,0.8459,120352,115272,3
PE,CYZONE,"201901",P0132055000,"132055020","200084502         ","015",1343,"998",CY STUDIO LOOK  DEL GEL 1.5 GR,0,CY STUDIO DEL BROWN,0,32.0000,19.9000,385,385,213,4772.78000,4772.78000,2622.246,1421,1421.2485,778.345,325,180.1767,0.8459,0.8459,120352,115272,3
PE,ESIKA,"201901",P0289069000,"289069040","200095103         ","015",8201,"001",ES CFX ESM GEL CARE 9ML,0,ES CFX ESM GEL ROJO ESIKA,,33.0000,20.9000,272,272,327,3509.73000,3509.73000,4227.999,1045,1045.1348,1254.970,184,221.9022,0.6786,0.6786,120352,115272,3
PE,ESIKA,"201901",P0289069000,"289069040","200095103         ","015",1343,"998",ES CFX ESM GEL CARE 9ML,0,ES CFX ESM GEL ROJO ESIKA,0,33.0000,20.9000,272,272,327,3509.73000,3509.73000,4227.999,1045,1045.1348,1254.970,184,221.9022,0.6786,0.6786,120352,115272,3
