"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","210093348","ES CORTOIS LENTES","UNI","P0531168000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220165095422","LENTES/DAMAS/MODERNO/COMBINADO","20","LENTES","165","DAMAS","095","MODERNO","422","COMBINADO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093349","ES TORNAZUL LENTES","UNI","P0531169000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220165095333","LENTES/DAMAS/MODERNO/METAL","20","LENTES","165","DAMAS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093350","ES BESSEL LENTES","UNI","P0531170000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220165095333","LENTES/DAMAS/MODERNO/METAL","20","LENTES","165","DAMAS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093351","ES FESTINY LENTES","UNI","P0531171000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220165095422","LENTES/DAMAS/MODERNO/COMBINADO","20","LENTES","165","DAMAS","095","MODERNO","422","COMBINADO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093352","ES GALVAN LENTES","UNI","P0531172000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220165095333","LENTES/DAMAS/MODERNO/METAL","20","LENTES","165","DAMAS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093353","ES SUNBLONDE LENTES","UNI","P0531173000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220165095422","LENTES/DAMAS/MODERNO/COMBINADO","20","LENTES","165","DAMAS","095","MODERNO","422","COMBINADO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093354","ES SUNRUNNER LENTES","UNI","P0531174000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220166358177","LENTES/CABALLEROS/DEPORTIVO/PLASTICO","20","LENTES","166","CABALLEROS","358","DEPORTIVO","177","PLASTICO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093355","ES FERRATI LENTES","UNI","P0531175000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220166095333","LENTES/CABALLEROS/MODERNO/METAL","20","LENTES","166","CABALLEROS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093356","ES BALBO LENTES","UNI","P0531176000","0202","Lentes","Accesorios","020202","02","ESIKA","0202","LENTES","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2220166095333","LENTES/CABALLEROS/MODERNO/METAL","20","LENTES","166","CABALLEROS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200099978","CZ SKIN F LIMPIA + HIDRA SA","UNI","P0005279003","0104","Tratamiento Facial","Cosmeticos","03010400040007","03","CYZONE","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","","","","","MUSK","GIGI","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Trat_Facial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
