grupodeatributos,codsap,desproductosap,unidadmedidabase,codproducto,codgrupoarticulo,desgrupoarticulo,codunidadnegocio,codjerq01,codmarca,desmarca,codigonegocio,desnegocio,codatributo1,desatributo1,codatributo2,desatributo2,codatributo3,desatributo3,peticionborrado,tipoean,codean13,codcuc,descripcioncuc,codcuctono,descripcioncuctono,codlinea,deslinea,codjerq02,desjerq02,codcategoria,descategoria,codsubcategoria,dessubcategoria,codtipo,destipo,codsubtipo,dessubtipo,codproductogenerico,desproductogenerico,codproductosupergenerico,desproductosupergenerico,largo,ancho,volumen,pesobruto,alto,unidadlongitud,unidadvolumen,unidadpeso,codclasemkt,aplicacionlugaruso,beneficio,descaracteristicabulk,edadobjetivo,familiafragancia,gama,grupoproductoac,mercado,presentacionenvase,sexo,sexoedadobjetivo,teoriacolor,tipoestuche,tipopielcabello,tipoproducto,contenidoneto,umcontenido,acabadoaccessorios,acabadocajareloj,acabadoluna,adicional,caracteristicastirasasas,caracteristicasbijouterie,cierrecomplementos,clasificacionproductos,colorcorrea,colorluna,colormarco,colortono,colortonocajareloj,detallecaja,detalleespecifi,detalleproducto,detallesuela,detallebrazo,detallemarcolentes,dialacabado,colorreloj,disenocomplementos,tipoestampado,estiloaccesorio,estiloropa,formacaja,grosorbrazo,grupoproductoshogar,insumocajareloj,insumomaterialprimario,insumocomplementario,materialcajareloj,modelolentes,niveles,nombregenericoaccesorio,nombregenerico,ocasionusoaccesorio,ocasionusoropa,origenaccesorio,tipoplaneacion,posicionamiento,presentacionforma,rotulosfila,subtipoprodhogar,subtipoprodcomplementos,tallatamano,tema,tematico,tipoluna,tipomaterial,tipomaterialropacalzado,tipomaterialbrazolente,tipotirasasas,tipologiareloj,tirasasas,versatilidad
SAP,210074342,ESIKA ACC GLAMMY DAM LENTE,UNI,P0530757000,202,Lentes,Accesorios,20202,2,ESIKA,202,LENTES,,,,,,,,,,,,,,ESIKA ACCESORIOS,ESIKA ACCESORIOS,2.29E+12,DAMAS/PLASTICO/MODERNO/B,88,DAMAS,137,PLASTICO,95,MODERNO,358,B,,,,,170,85,1156,15,80,MM,CM3,G,Lentes,,,,,,,,,,,Femenino,,,,Lentes,,,,,Solido,,,,,,,Gama Marrones,Marrón/Camel,,,,,,,Sin Insumo,Metal,,,,,Casual,,,,,,,,,Swarovski,,,,Formal,,,,,,,,,,,,,,,Otros,,,,
SAP,210046250,J ROANI LENTES,UNI,P0530587000,202,Lentes,Accesorios,2,2,ESIKA,202,LENTES,,,,,,,,,,,,,,JOIA,JOIA,2.28814E+12,DAMAS/PLASTICO/MODERNO/B,88,DAMAS,137,PLASTICO,95,MODERNO,358,B,,,,,0,0,0,0,0,,,KG,Lentes,,,,,,,,,,,Damas,,,,De Sol,,,,,,,,,,,,,,,,,,,,,,,,,,Moderno,,,,,,,,,,,,,Diario,,,,,,,,,,,,,,,,,,,
