"GrupoDeAtributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200088593","ES LPI CR EXFOL CC 90 G","Crema exfoliante para pies","Crema exfoliante para pies","90 g / 3,1 oz.","","ESIKA PAISES","","Elimina impurezas y células muertas","","Multicare","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200091072","Multicrem Nutrients Edición Limitada","Loción corporal nutritiva","Multicrem Nutrients EDL","1 litro / 33,7 fl.oz.","","ESIKA PAISES","","MAQUILLAJE","","Multicare","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200082356","L'Bel Nocturne Sérum","Sérum Activador Nocturno para el Rostro","LB SUE LBEL TRIA SUERO 5 ML","5 ml e .16 fl. oz.","5 ml",".16 fl. oz.",".16 fl. oz.","","","Sérum Activador Nocturno para el Rostro","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200085633","","Mascarilla para puntos negros","CZ CYSOLUX MASC PUN NEG 90G FM","90 g / 3 oz.","","","","exfolia y reduce el brillo ayudando a prevenir puntos negros","","cy soluxion","","CYZONE PAISES","","","","","","","exfolia y reduce el brillo ayudando a prevenir puntos negros","","","","","","","","",""
"Comunicaciones","200080255","Rizos Perfectos","Acondicionador con perfume fino","Acondicionador","350 ml / 11,8 fl.oz.","","ESIKA MEXICO","","","","Ésens","0","ESIKA MEXICO","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200080270","Liso Máximo","Acondicionador con perfume fino","Acondicionador","350 ml / 11,8 fl.oz.","","ESIKA MEXICO","","","","Ésens","0","ESIKA MEXICO","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200080256","Rizos Perfectos","Shampoo con perfume fino","Shampoo","350 ml / 11,8 fl.oz.","","ESIKA MEXICO","","","","Ésens","0","ESIKA MEXICO","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200080272","Liso Máximo","Shampoo con perfume fino","Shampoo","350 ml / 11,8 fl.oz.","","ESIKA MEXICO","","","","Ésens","0","ESIKA MEXICO","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200097285","Rizos Perfectos","Shampoo con perfume fino","Sh Rizos","350 ml / 11,8 fl.oz.","","","","","","Ésens","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200086040","Estuche Perfeccionador para Cejas y Ojos","Estuche Perfeccionador para Cejas y Ojos","LB EFP SOMB KIT CEJAS 4.4 G FM","4.4 g e .15 oz.","4.4 g",".15 oz.",".15 oz.","","","Estuche Perfeccionador para Cejas y Ojos","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200091211","Kit Perfeccionador de Cejas y Ojos","Kit Perfeccionador de Cejas y Ojos","LB EFP MULT CC KIT CEJAS 4.4 G","4.4 g e .15 oz.","4.4 g",".15 oz.",".15 oz.","","","Kit Perfeccionador de Cejas y Ojos","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200079531","L'egard Homme","Eau de Toilette Pour Homme","LB L´ EGARD EDT 80 ML","80 ml e 2.7 fl. oz.","80 ml","2.7 fl. oz.","2.7 fl. oz.","","","Eau de Toilette Pour Homme","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200082483","","eau de parfum","CZ LOVE BOMB EDP 30 ML","30 ml / 1 fl.oz.","","","","emociones a punto de estallar","frutal","love bomb","","CYZONE COLOMBIA","","Vive el romance con las notas chocolate negro y la deliciosa orquídea vainilla.","","","","","","","","","","","","","",""
"Comunicaciones","200083957","Súmmum","Eau de Toilette Pour Homme","LB SÚMMUM EDT 100 ML","100 ml e 3.4 fl. oz.","100 ml","3.4 fl. oz.","3.4 fl. oz.","La suma de todas las fuerzas","Un homenaje a la fuerza de los dioses con el envolvente aroma del incienso de Omán. Puro poder masculino en este aceite sagrado con acentos especiados, cítricos y maderosos.","Eau de Toilette Pour Homme","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200088318","","eau de parfum","CY ADDICTED EDP CC 50 ML","50 ml / 1.6 fl. oz.","","","","despierta su adicción","dulce","addicted","","CYZONE PAISES","","Seduce con la freesia púrpura y las poderosas notas de la orquídea negra.","","","","","","","","","","","","","",""
"Comunicaciones","200093636","KALOS SPORT EDICIÓN LIMITADA","Cologne for men","ES KALOS SPO EDL2018 EDT 100ML","100 ml / 3,4 fl.oz.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210090293","ARETES GLAM KUNIS BLONDE","Aretes Glam","FI KUNIS BLONDE PEN","Con pasador francés, largo 5.9 cm.","","","Con pasador francés, largo 5.9 cm.","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
