"GrupoDeAtributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200086106","Essential","Solución Micelar Limpiadora y Tónica Facial","LB ESSENTIAL MICELAR 90 ML","90 ml e 3 fl. oz.","90 ml","3 fl. oz.","3 fl. oz.","","","Solución Micelar Limpiadora y Tónica Facial","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200085830","Homme 033 Noir","Eau de Toilette Pour Homme","LB HOMME 033NOIR EDT QUP 100ML","100 ml e 3.4 fl. oz.","100 ml","3.4 fl. oz.","3.4 fl. oz.","La noche se viste de elegancia","La faceta más seductora de la elegancia con el envolvente aroma del haba tonka, exquisitas semillas acompañadas de intensas notas especiadas y maderosas. (Elegancia de noche)","Porque la elegancia también cautiva: Homme 033 Noir, una esencia intensa para vivir la seducción de la noche.","Maderosa Cítrica","LBEL PAISES","","","","","","","","","","","","","","","",""
