"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","210093561","FI GOLD IN LOVE PUL","UNI","P0592889192","020104","Pulseras","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165174404","BIJOUTERIE/DAMAS/PULSERA/ORO CON CRISTALES","21","BIJOUTERIE","165","DAMAS","174","PULSERA","404","ORO CON CRISTALES","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210090298","FI SOFT STYLE PEN","UNI","P0591344106","020101","Aretes","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165500405","BIJOUTERIE/DAMAS/PENDIENTES/ORO CON CUENTAS/PIEDRAS","21","BIJOUTERIE","165","DAMAS","500","PENDIENTES","405","ORO CON CUENTAS/PIEDRAS","","","","","69.000","51.000","113.643","16.686","27.000","MM","CM3","G","Bijouterie","","","","","","","","","","","Femenino","","","","Aretes","","","Brillante","","","","","Estuche Coleccion","","","","","","Naranja","","","","","","","","","","","","","","","","","","Piedras Facetada","Ninguno","","","","SOFT STYLE","","","","","","","Pasador Francés","Pendiente Largo","","","No Aplica","","","","Oro","","","","","","No"
"SAP","210090070","FI CUTIE OWL PEN","UNI","P0591344069","020101","Aretes","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021505101416","BIJOUTERIE/NI#AS/TWEENS/ARETES/PLATA CON EPOXICO","21","BIJOUTERIE","505","NI#AS","101","TWEENS","416","ARETES/PLATA CON EPOXICO","","","","","56.000","76.000","106.400","8.549","25.000","MM","CM3","G","Bijouterie","","","","","","","","","","","Niñas","","","","Aretes","","","Brillante","","","","","Colección","","","","","","Rosado","","","","","","","","","","","","","","","","","","Esmalte","Ninguno","","","","CUTIE OWL","","","","","","","Pasador Francés","Pendiente Corto","","","No Aplica","","","","Plata","","","","","","No"
"SAP","210093560","FI GOLD IN LOVE PEN GLAM","UNI","P0591344339","020101","Aretes","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165101404","BIJOUTERIE/DAMAS/ARETES/ORO CON CRISTALES","21","BIJOUTERIE","165","DAMAS","101","ARETES","404","ORO CON CRISTALES","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042425","LICUADORA REACCION INCEN C02","UNI","P0976267059","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200.000","165.000","11880.000","3200.000","360.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042426","BOLSA SELECT MIST","UNI","P0976267060","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.000","10.000","40.500","80.000","90.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
