"GrupoDeAtributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200072298","Délice Óleo de Almendras","Crema Corporal Perfumada","LB DELPLCOR HID ALMEND 200 ML","200 ml e 6.7 fl. oz.","200 ml","6.7 fl. oz.","6.7 fl. oz.","","","Crema Corporal Perfumada","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200085887","Jadiss","Lociones perfumadas","Jadiss","150 ml / 5 fl.oz.","","ESIKA PAISES","","LENTES","","Lociones perfumadas","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200088106","Multicrem Nutrients","Loción corporal nutritiva","Multicrem Nutrients","1 litro / 33,7 fl.oz","","ESIKA PAISES","","","","Multicare","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200085777","ES TRIPLE ACC PNEGROS 90 G FM","Mascarilla exfoliante facial multibeneficios","Mascarilla exfoliante facial multibeneficios","90 g / 3,17 oz.","","ESIKA PAISES","","MAQUILLAJE","","Triple Acción Max","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200091928","",".",".","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200073368","UV Défense 365 Total","Protector Facial Diario no Grasoso en Loción FPS 50","LB UV DEFE BLOQ S/COLOR 30 ML","30 ml e 1 fl. oz.","30 ml","1 fl. oz.","1 fl. oz.","","","Protector Facial Diario no Grasoso en Loción FPS 50","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200060272","Ligne Experte Reconstruit","Acondicionador Control Caída para Cabello Debilitado","LIGNE EXP ANT AC 250 ML LB","250 ml e 8.4 fl. oz.","250 ml","8.4 fl. oz.","","","","","","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200085428","ES CC BASE ESM 6 EN 1 10 ML","Base + acabado 6 en 1 para uñas","base + acabado","10 ml / ,33 fl.oz.","","ESIKA PAISES","","ROSTRO Y CUERPO","","Ésika Pro","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200041665","for her","eau de parfum","for her","75 ml / 2.5 fl. oz.","","ESIKA REPUBLICA DOMINICANA","","lo que nos une","frutal","blue & blue","0","CYZONE PAISES","FRAGANCIAS","Disfruta con el dulce aroma de las fresas y las cautivantes notas de violeta.","","","","","","","","","","","","","",""
"Comunicaciones","200075537","Brises de Vie","Colonia","LB BRIS VIE EDT CC 100 ML","100 ml e 3.4 fl. oz.","100 ml","3.4 fl. oz.","3.4 fl. oz.","","","Colonia. Concentración ligera*","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200075540","Brises de Vie Aqua","Colonia","LB B VIE AQ EDT CC 50 ML","50 ml e 1.7 fl. oz.","50 ml","1.7 fl. oz.","1.7 fl. oz.","","","Colonia. Concentración ligera*","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200075541","Brises de Vie Aqua","Colonia","LB B VIE AQ EDT CC 100 ML","100 ml e 3.4 fl. oz.","100 ml","3.4 fl. oz.","3.4 fl. oz.","","","Colonia. Concentración ligera*","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200077095","Émouv","Colonia","LB EMO EDT CC 50 ML","50 ml e 1.7 fl. oz.","50 ml","1.7 fl. oz.","1.7 fl. oz.","","","Colonia. Concentración ligera*","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
