"GrupoDeAtributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200097008","Kit Libertâge","LB KIT LIBERTAGE 2018 3 UN","LB KIT LIBERTAGE 2018 3 UN","","","","","","","","","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200092899","40 años a más","Crema facial multibeneficios","40 años a más","120 g / 4,2 oz.","","ESIKA PAISES","","MAQUILLAJE","","Triple Acción Max","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200088612","Riviera Sunset","Fragrance mist","Riviera Sunset","200 ml / 6,7 fl.oz.","","","","","","Paradisso","","ESIKA PAISES","","","","","","","","","","","","","","","",""
