"GrupoDeAtributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200050939","Liasson","Loción Perfumada","LIASSON LOC PERF 160 ML LBEL","160 ml e 5.4 fl. oz.","","LBEL COLOMBIA","5.4 fl. oz.","Tu privilegio","Una esencia que se distinguedel resto con los acentos de lirio del valle y el iris. Femeninos toques florales que son un privilegio que solo tú puedes llevar. (Distinguida)","Liasson, un bouquet floral que se distingue del resto.","0","Tu privilegio","","","","","","","","","","","","","","","",""
"Comunicaciones","200059765","Vanilla Scent","Loción perfumada","VANILLA SCENT LOC PER CC 150ML","150 ml / 5 fl.oz.","","","","","","Lociones perfumadas","","ESIKA COLOMBIA","FRAGANCIAS","","","","","","","","","","","","","","",""
"Comunicaciones","200062880","ES LPI EXFOLIANTE PIES 90 G","Crema exfoliante para pies","Crema exfoliante para pies","90 g / 3,1 oz.","","ESIKA COLOMBIA","","CUIDADO PERSONAL","","Multicare","0","ESIKA COLOMBIA","ROSTRO Y CUERPO","","","","","","","","","","","","","","",""
"Comunicaciones","200079463","guaraná y trébol rojo","Gel corporal hidratante con agua de frutas","CZ BODYDREA CR G&T 150 G","150 g / 5.2 oz","","","","textura gel de rápida absorción","","body dreams","","CYZONE COLOMBIA","","","","","textura gel de rápida absorción","","textura gel de rápida absorción","","","","","","","","",""
"Comunicaciones","200085751","toronja y jengibre","Crema corporal hidratante con agua de frutas","toronja y jengibre","180 g / 6.3 oz.","","","","textura ligera de rápida absorción","","body dreams","","CYZONE PAISES","","","","","textura ligera de rápida absorción","","textura ligera de rápida absorción","","","","","","","","",""
"Comunicaciones","200085863","Vainilla & Jazmín","Loción humectante corporal","Vainilla & Jazmín","1 litro / 33,7 fl.oz.","","","","","","Natural Care","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200085875","Flor de Naranjo & Litchi","Loción humectante corporal","Flor de Naranjo & Litchi","1 litro / 33,7 fl.oz.","","","","","","Natural Care","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200085880","Pomegranate & Canela","Loción humectante corporal","Pomegranate & Canela","1 litro / 33,7 fl.oz.","","","","","","Natural Care","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200088105","ES AQUALOTION LOCION CORP 1L","Loción corporal extra humectante","ES AQUALOTION LOCION CORP 1L","1 litro / 33,7 fl.oz","","ESIKA PAISES","","MAQUILLAJE","","AQUALOTION","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200088107","ES TRIPLE ACC MAX LOC CORP 1L","Loción de belleza para el cuerpo","Triple Acción Max","1 litro / 33,7 fl.oz.","","ESIKA PAISES","","","","Triple Acción Max","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
