"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","210093380","SORP BELLEZA  M&A C07 EC03","UNI","P0504340000","0401","Hogar","Hogar","030401","03","CYZONE","0401","HOGAR","","","","","","","","","","","","","","CYZONE","CYZONE","5134092511486","HOGAR/TEMATICOS/CARA/OTROS","34","HOGAR","092","TEMATICOS","511","CARA","486","OTROS","","","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Hogar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100052","ES PRO PERLAS DE SOL T1","UNI","P0292094015","0102","Maquillaje","Cosmeticos","020102000600140001","02","ESIKA","0102","MAQUILLAJE","0006","ROSTRO","0014","POLVOS","0001","FEMENINO","","","","","","","","ESIKA","ESIKA","1202156091030","MAQUILLAJE/PARA ROSTRO/POLVOS/POLVOS SUELTOS","02","MAQUILLAJE","156","PARA ROSTRO","091","POLVOS","030","POLVOS SUELTOS","P0292094005","ES PRO PERLAS DE SOL 20G","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Maquillaje","Rostro","Color","Polvos","","","Varios","","Rostro Polvos","Sin Asignar","Femenino","","Tierra","Sin Asignar","","Polvos","20.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100053","ES PRO PERLAS DE SOL T2","UNI","P0292094025","0102","Maquillaje","Cosmeticos","020102000600140001","02","ESIKA","0102","MAQUILLAJE","0006","ROSTRO","0014","POLVOS","0001","FEMENINO","","","","","","","","ESIKA","ESIKA","1202156091030","MAQUILLAJE/PARA ROSTRO/POLVOS/POLVOS SUELTOS","02","MAQUILLAJE","156","PARA ROSTRO","091","POLVOS","030","POLVOS SUELTOS","P0292094005","ES PRO PERLAS DE SOL 20G","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Maquillaje","Rostro","Color","Polvos","","","Varios","","Rostro Polvos","Sin Asignar","Femenino","","Tierra","Sin Asignar","","Polvos","20.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100054","ES PRO PERLAS DE SOL T3","UNI","P0292094035","0102","Maquillaje","Cosmeticos","020102000600140001","02","ESIKA","0102","MAQUILLAJE","0006","ROSTRO","0014","POLVOS","0001","FEMENINO","","","","","","","","ESIKA","ESIKA","1202156091030","MAQUILLAJE/PARA ROSTRO/POLVOS/POLVOS SUELTOS","02","MAQUILLAJE","156","PARA ROSTRO","091","POLVOS","030","POLVOS SUELTOS","P0292094005","ES PRO PERLAS DE SOL 20G","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Maquillaje","Rostro","Color","Polvos","","","Varios","","Rostro Polvos","Sin Asignar","Femenino","","Tierra","Sin Asignar","","Polvos","20.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200099993","SORP BELLEZA COSM C07 EC03","UNI","P0210160138","0102","Maquillaje","Cosmeticos","020102000200100001","02","ESIKA","0102","MAQUILLAJE","0002","LABIOS","0010","LAPIZ LABIAL","0001","FEMENINO","","","","","","","","ESIKA","ESIKA","1202036027020","MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA","02","MAQUILLAJE","036","PARA LABIOS","027","LAPIZ LABIAL","020","BARRA","","","","","0.000","0.000","0.000","0.000","0.000","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200099998","CZ LL COL CODE CHERRY COLOR PL","UNI","P0197135017","0102","Maquillaje","Cosmeticos","030102000200100001","03","CYZONE","0102","MAQUILLAJE","0002","LABIOS","0010","LAPIZ LABIAL","0001","FEMENINO","","","","","","","","CY","CY","1202036027020","MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA","02","MAQUILLAJE","036","PARA LABIOS","027","LAPIZ LABIAL","020","BARRA","P0197135007","CZ LL COLOR CODE PL 4G","","","0.000","0.000","0.000","0.000","0.000","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200099999","CZ LL COL CODE RUBY COLOR PL","UNI","P0197135027","0102","Maquillaje","Cosmeticos","030102000200100001","03","CYZONE","0102","MAQUILLAJE","0002","LABIOS","0010","LAPIZ LABIAL","0001","FEMENINO","","","","","","","","CY","CY","1202036027020","MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA","02","MAQUILLAJE","036","PARA LABIOS","027","LAPIZ LABIAL","020","BARRA","P0197135007","CZ LL COLOR CODE PL 4G","","","0.000","0.000","0.000","0.000","0.000","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100000","CZ LL COL CODE CORAL COLOR PL","UNI","P0197135037","0102","Maquillaje","Cosmeticos","030102000200100001","03","CYZONE","0102","MAQUILLAJE","0002","LABIOS","0010","LAPIZ LABIAL","0001","FEMENINO","","","","","","","","CY","CY","1202036027020","MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA","02","MAQUILLAJE","036","PARA LABIOS","027","LAPIZ LABIAL","020","BARRA","P0197135007","CZ LL COLOR CODE PL 4G","","","0.000","0.000","0.000","0.000","0.000","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100001","CZ LL COL CODE FUCSIA COLOR PL","UNI","P0197135047","0102","Maquillaje","Cosmeticos","030102000200100001","03","CYZONE","0102","MAQUILLAJE","0002","LABIOS","0010","LAPIZ LABIAL","0001","FEMENINO","","","","","","","","CY","CY","1202036027020","MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA","02","MAQUILLAJE","036","PARA LABIOS","027","LAPIZ LABIAL","020","BARRA","P0197135007","CZ LL COLOR CODE PL 4G","","","0.000","0.000","0.000","0.000","0.000","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100002","CZ LL CODE ROYAL BLUE COLOR PL","UNI","P0197135057","0102","Maquillaje","Cosmeticos","030102000200100001","03","CYZONE","0102","MAQUILLAJE","0002","LABIOS","0010","LAPIZ LABIAL","0001","FEMENINO","","","","","","","","CY","CY","1202036027020","MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA","02","MAQUILLAJE","036","PARA LABIOS","027","LAPIZ LABIAL","020","BARRA","P0197135007","CZ LL COLOR CODE PL 4G","","","0.000","0.000","0.000","0.000","0.000","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
