"grupodeatributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","210046250","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","vtest 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1","test 1"
"Comunicaciones","210074338","ESIKA ACC CHAINING DAM LENTE","ACCESORIOS Chaining para dama","ESIKA ACC CHAINING DAM LENTE","","","ESIKA COLOMBIA","","","","Lentes Chaining para dama","0","ESIKA COLOMBIA","LENTES","","","","","","","","","","","","","","",""
"Comunicaciones","210074342","ESIKA ACC GLAMMY DAM LENTE","ESIKA ACC GLAMMY DAM LENTE","ESIKA ACC GLAMMY DAM LENTE","","","ESIKA MEXICO","","","","ESIKA ACC GLAMMY DAM LENTE","0","ESIKA MEXICO","LENTES","","","","","","","","","","","","","","",""
"Comunicaciones","210075739","ESIKA ACC RHINO CAB LENTE","ESIKA ACC RHINO CAB LENTE","ESIKA ACC RHINO CAB LENTE","","","ESIKA ECUADOR","","","","ESIKA ACC RHINO CAB LENTE","0","ESIKA ECUADOR","LENTES","","","","","","","","","","","","","","",""
"Comunicaciones","210075740","ESIKA ACC TANK CAB LENTE","ESIKA ACC TANK CAB LENTE","ESIKA ACC TANK CAB LENTE","","","ESIKA PERU","","","","ESIKA ACC TANK CAB LENTE","0","ESIKA PERU","LENTES","","","","","","","","","","","","","","",""
"Comunicaciones","210079893","ESIKA ACC ST JAMES CAB LENTE","ESIKA ACC ST JAMES CAB LENTE","ESIKA ACC ST JAMES CAB LENTE","","","ESIKA MEXICO","","","","ESIKA ACC ST JAMES CAB LENTE","0","ESIKA MEXICO","LENTES","","","","","","","","","","","","","","",""
"Comunicaciones","210079895","ESIKA ACC WEDGWOOD CAB LENTE","ESIKA ACC WEDGWOOD CAB LENTE","ESIKA ACC WEDGWOOD CAB LENTE","","","ESIKA MEXICO","","","","ESIKA ACC WEDGWOOD CAB LENTE","0","ESIKA MEXICO","LENTES","","","","","","","","","","","","","","",""
"Comunicaciones","210081169","ESIKA ACC CENTAURO CAB LEN","ESIKA ACC CENTAURO CAB LEN","ESIKA ACC CENTAURO CAB LEN","","","ESIKA MEXICO","","MAQUILLAJE","","ESIKA ACC CENTAURO CAB LEN","0","ESIKA MEXICO","LENTES","","","","","","","","","","","","","","",""
"Comunicaciones","210082141","ESIKA ACC CASTLE CAB LENTE","ESIKA ACC CASTLE CAB LENTE","ESIKA ACC CASTLE CAB LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC CASTLE CAB LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210082144","ESIKA ACC GLACE CHIC DAM LENTE","ESIKA ACC GLACE CHIC DAM LENTE","ESIKA ACC GLACE CHIC DAM LENTE","127844","127844","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC GLACE CHIC DAM LENTE","0","ESIKA PAISES","","","","","127844","127844","127844","127844","127844","127844","127844","","127844","","127844",""
"Comunicaciones","210082934","LENTES LADY CAREY","ESIKA ACC LADY CAREY DAM LENTE","ESIKA ACC LADY CAREY DAM LENTE","","","ESIKA PAISES","","","","ESIKA ACC LADY CAREY DAM LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210082937","ESIKA ACC AFRODISIA DAM LENTE","ESIKA ACC AFRODISIA DAM LENTE","ESIKA ACC AFRODISIA DAM LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC AFRODISIA DAM LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
