"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","200099991","CZ SKIN F HIDR SA ENC LIBR 1G","UNI","P0005034201","0104","Tratamiento Facial","Cosmeticos","03010400040010","03","CYZONE","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","","","","","MUSK","GIGI","1412057418275","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/MATIFICANTE/SACHET ENCARTADO","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","418","MATIFICANTE","275","SACHET ENCARTADO","","","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Trat_Facial","Rostro","Hidratante Y Matificante","Gel","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","1.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200099992","LB CONCE TO CR EDL REL PA 50G","UNI","P0486274052","0104","Tratamiento Facial","Cosmeticos","01010400040011","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0011","NUTRITIVA / REVITALIZADORA","","","","","","","","","","CONCENTRE TOTAL","CONCENTRE TOTAL","1410156041213","TRATAMIENTO FACIAL/PARA ROSTRO/NUTRITIVAS REVITALIZADORA/P-MUJER TODOTIPODECUTIS-NO","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","041","NUTRITIVAS REVITALIZADORA","213","P-MUJER TODOTIPODECUTIS-NO","","","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Trat_Facial","Rostro","Elimina Arrugas","Crema","","","","","Nutritiva/Revitalizadora","","Femenino","","","","Todo Tipo De Cutis","Nutritiva / Revitalizadora","50.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200094920","ES PESM 6EN1 VER FOREST PR/USA","UNI","P0292110740","0102","Maquillaje","Cosmeticos","020102000300080001","02","ESIKA","0102","MAQUILLAJE","0003","MANOS / U�AS","0008","ESMALTE","0001","FEMENINO","","","","P0210111001","ES ESM 6 EN 1 10 ML","P0292100395","ES PRO ESM 6EN1 VERDE FORESTA","ESIKA","ESIKA","1202043026027","MAQUILLAJE/PARA U#AS/ESMALTE/LIQUIDO","02","MAQUILLAJE","043","PARA U#AS","026","ESMALTE","027","LIQUIDO","P0292110000","ES PRO ESMALTE 6EN1 PR US 10ML","","","36.000","29.000","86.652","57.000","83.000","MM","CM3","G","Maquillaje","Manos / Uñas","Color","Liquido","","","Marrones","","Esmalte","Sin Asignar","Femenino","","Tierra","Sin Asignar","","Esmalte","10.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093366","CY 3RO FLYING DREAMS RELOJ","UNI","P0602103483","0501","Promociones de 3ros","Apoyo","03050","03","CYZONE","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","CYZONE","CYZONE","6099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093367","CY 3RO KESINGTON RELOJ","UNI","P0602103484","0501","Promociones de 3ros","Apoyo","03050","03","CYZONE","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","CYZONE","CYZONE","6099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093368","CY 3RO RIGEL RELOJ","UNI","P0602103485","0501","Promociones de 3ros","Apoyo","03050","03","CYZONE","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","CYZONE","CYZONE","6099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093369","CY 3RO FULL LOVE RELOJ","UNI","P0602103486","0501","Promociones de 3ros","Apoyo","03050","03","CYZONE","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","CYZONE","CYZONE","6099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093370","CY 3RO TOBALINE RELOJ","UNI","P0602103487","0501","Promociones de 3ros","Apoyo","03050","03","CYZONE","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","CYZONE","CYZONE","6099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200099979","REGALO FAN C06 2019","UNI","P0907221245","0503","Material Apoyo Venta","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","7099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","61.000","61.000","401.868","401.900","108.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200099984","REGALO FAN C07 2019","UNI","P0907221246","0503","Material Apoyo Venta","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","7099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","61.000","61.000","401.868","401.900","108.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
